"Response","R2","RMSE","MAE"
"Oxidative stress",0.00159245485823765,0.0073292954494849,0.00489655672196523
"Dessication stress",0.0180517676440579,5.62612077110621e-05,2.53195169271969e-05
"Osmotic stress",0.109967917015821,0.00206714433358301,0.0016010086873861
"Acid stress",0.0127745651713744,0.000341537054582761,0.000139158573111416
"Stress Response",0.28797310599491,0.00247674683122753,0.00165217642728084
"Heat shock",0.0316030216817656,0.00317653431216461,0.00247244768688222
"Cold shock",3.70760892160694e-05,0.00133400812372414,0.000956176990630001
"Detoxification",0.0138688290731032,0.000224316320580449,0.000165525195249764
"Periplasmic Stress",0.0141320663593398,0.000855676875069254,0.000511208618049425
